direction	partner	interaction_name	pathway	prob_hi	prob_lo	pval_hi	pval_lo	delta_prob
Outgoing_CD4_to_partner	B	TGFB1_TGFBR1_TGFBR2	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	TGFB2_TGFBR1_TGFBR2	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	TGFB3_TGFBR1_TGFBR2	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	TGFB1_ACVR1B_TGFBR2	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	TGFB1_ACVR1C_TGFBR2	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	TGFB2_ACVR1B_TGFBR2	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	TGFB2_ACVR1C_TGFBR2	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	TGFB3_ACVR1B_TGFBR2	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	TGFB3_ACVR1C_TGFBR2	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	TGFB1_ACVR1_TGFBR1	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	TGFB2_ACVR1_TGFBR1	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	TGFB3_ACVR1_TGFBR1	TGFb	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP2_BMPR1A_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP2_BMPR1A_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP2_BMPR1A_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP2_BMPR1B_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP2_BMPR1B_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP2_BMPR1B_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP4_BMPR1A_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP4_BMPR1A_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP4_BMPR1A_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP4_BMPR1B_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP4_BMPR1B_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	BMP4_BMPR1B_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF5_BMPR1A_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF5_BMPR1A_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF5_BMPR1A_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF5_BMPR1B_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF5_BMPR1B_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF5_BMPR1B_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF6_BMPR1A_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF6_BMPR1A_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF6_BMPR1A_BMPR2	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF6_BMPR1B_ACVR2A	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF6_BMPR1B_ACVR2B	BMP	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF6_BMPR1B_BMPR2	BMP	0	0	1	1	0
